,date,Atlanta,Boston,Chicago,Detroit,Los Angeles,Miami,New York,Seattle
0,2015-01-01,1041.4166666666667,1030.7083333333333,1033.375,1030.7916666666667,1031.7083333333333,1034.0416666666667,1021.0833333333334,1041.4166666666667
1,2015-01-02,1039.375,1029.6666666666667,1036.875,1035.4166666666667,1033.375,1034.9166666666667,1021.0,1035.625
2,2015-01-03,1036.25,1047.75,1031.7083333333333,1035.7916666666667,1034.5833333333333,1035.125,1030.25,1036.4166666666667
3,2015-01-04,1031.4583333333333,1028.7083333333333,1025.5,1020.4166666666666,1039.2916666666667,1035.6666666666667,1005.4166666666666,1036.375
4,2015-01-05,1044.9583333333333,1021.8333333333334,1048.375,1040.3333333333333,1039.0833333333333,1037.6666666666667,1009.6666666666666,1032.2916666666667
5,2015-01-06,1042.5416666666667,1037.4166666666667,1043.0416666666667,1040.5833333333333,1036.1666666666667,1037.3333333333333,1017.1666666666666,1037.7083333333333
6,2015-01-07,1040.2916666666667,1025.1666666666667,1046.5833333333333,1037.5,1033.875,1034.0833333333333,1013.25,1037.8333333333333
7,2015-01-08,1049.5833333333333,1035.0833333333333,1045.0833333333333,1042.4583333333333,1030.875,1035.375,1020.5833333333334,1035.5
8,2015-01-09,1042.375,1030.2083333333333,1034.4166666666667,1028.0,1029.0416666666667,1035.25,1022.0833333333334,1032.625
9,2015-01-10,1045.6666666666667,1036.75,1044.5833333333333,1042.25,1029.25,1037.0,1025.6666666666667,1029.7916666666667
10,2015-01-11,1046.9583333333333,1047.7083333333333,1040.25,1043.125,1029.5833333333333,1037.0416666666667,1034.7916666666667,1032.125
11,2015-01-12,1039.7916666666667,1041.5416666666667,1042.7083333333333,1040.5416666666667,1033.5,1034.7083333333333,1027.0,1038.5
12,2015-01-13,1037.0416666666667,1042.25,1053.375,1052.9583333333333,1033.0833333333333,1031.8333333333333,1027.6666666666667,1043.6666666666667
13,2015-01-14,1039.3333333333333,1046.0416666666667,1045.0,1045.0,1033.9583333333333,1030.6666666666667,1029.8333333333333,1039.1666666666667
14,2015-01-15,1036.6666666666667,1032.0416666666667,1034.6666666666667,1034.9583333333333,1036.8333333333333,1030.9583333333333,1023.0,1035.7916666666667
15,2015-01-16,1036.7083333333333,1021.3333333333334,1033.7083333333333,1031.0,1036.2916666666667,1031.0,1011.875,1028.3333333333333
16,2015-01-17,1037.1666666666667,1036.7083333333333,1025.0,1032.0,1034.9583333333333,1032.875,1024.25,1031.2916666666667
17,2015-01-18,1033.1666666666667,1033.2916666666667,1021.5416666666666,1019.2916666666666,1036.125,1032.4166666666667,1016.625,1023.4583333333334
18,2015-01-19,1034.2916666666667,1015.3333333333334,1029.5416666666667,1028.5416666666667,1034.0833333333333,1033.5833333333333,1009.5416666666666,1038.4583333333333
19,2015-01-20,1029.375,1021.0833333333334,1026.8333333333333,1030.0,1029.9583333333333,1031.125,1010.875,1043.25
20,2015-01-21,1031.2916666666667,1031.9166666666667,1030.75,1032.3333333333333,1028.5416666666667,1030.5,1019.1666666666666,1039.875
21,2015-01-22,1037.7083333333333,1035.4166666666667,1041.6666666666667,1039.7083333333333,1034.4166666666667,1032.9166666666667,1021.25,1038.75
22,2015-01-23,1031.9583333333333,1035.9583333333333,1038.25,1038.75,1037.6666666666667,1032.0,1025.0833333333333,1042.1666666666667
23,2015-01-24,1024.3333333333333,1019.2083333333334,1022.0416666666666,1020.3333333333334,1033.9583333333333,1027.5833333333333,1006.5416666666666,1039.0
24,2015-01-25,1027.9166666666667,1011.7916666666666,1021.5416666666666,1023.25,1031.0,1030.2083333333333,1003.0416666666666,1035.4166666666667
25,2015-01-26,1023.5833333333334,1031.125,1028.9583333333333,1028.7916666666667,1029.9166666666667,1027.7083333333333,1013.5,1028.375
26,2015-01-27,1028.2916666666667,1018.875,1032.0416666666667,1032.25,1033.5,1029.8333333333333,1008.2083333333334,1029.2083333333333
27,2015-01-28,1036.75,1024.0833333333333,1038.2083333333333,1039.9583333333333,1034.75,1032.5833333333333,1016.4583333333334,1038.0833333333333
28,2015-01-29,1038.1666666666667,1037.0833333333333,1025.7916666666667,1029.2083333333333,1031.5,1035.75,1025.9583333333333,1040.9166666666667
29,2015-01-30,1037.625,1024.9583333333333,1043.0833333333333,1036.9583333333333,1028.25,1035.1666666666667,1011.375,1039.7083333333333
30,2015-01-31,1041.7916666666667,1021.8333333333334,1040.0,1040.7916666666667,1024.75,1034.6666666666667,1018.1666666666666,1037.0
31,2015-02-01,1035.25,1031.125,1032.1666666666667,1035.4583333333333,1029.9583333333333,1034.7083333333333,1020.4583333333334,1032.2083333333333
32,2015-02-02,1026.5416666666667,1023.0833333333334,1031.2916666666667,1025.6666666666667,1032.4583333333333,1030.625,1006.4583333333334,1028.6666666666667
33,2015-02-03,1040.25,1026.875,1035.75,1035.8333333333333,1030.9583333333333,1032.4166666666667,1019.9166666666666,1029.4166666666667
34,2015-02-04,1038.4166666666667,1036.5,1032.0416666666667,1030.5416666666667,1031.875,1033.2916666666667,1021.0416666666666,1030.4166666666667
35,2015-02-05,1034.0833333333333,1026.1666666666667,1044.2916666666667,1040.625,1031.3333333333333,1028.1666666666667,1013.0833333333334,1019.2083333333334
36,2015-02-06,1041.8333333333333,1032.4166666666667,1037.875,1036.9583333333333,1030.7083333333333,1031.375,1021.5416666666666,1007.625
37,2015-02-07,1038.75,1031.0,1026.3333333333333,1029.7083333333333,1033.125,1034.75,1019.7916666666666,1009.9583333333334
