,date,Atlanta,Boston,Chicago,Detroit,Los Angeles,Miami,New York,Seattle
0,2015-01-01,74.625,100.0,100.0,74.20833333333333,43.583333333333336,80.70833333333333,61.583333333333336,96.58333333333333
1,2015-01-02,68.66666666666667,95.83333333333333,100.0,79.16666666666667,52.5,84.08333333333333,61.458333333333336,97.875
2,2015-01-03,94.54166666666667,99.41666666666667,100.0,87.95833333333333,61.0,79.70833333333333,77.58333333333333,99.70833333333333
3,2015-01-04,94.875,93.83333333333333,99.75,94.79166666666667,59.25,81.16666666666667,96.625,99.83333333333333
4,2015-01-05,82.45833333333333,93.91666666666667,100.0,81.54166666666667,62.541666666666664,85.33333333333333,64.33333333333333,95.70833333333333
5,2015-01-06,69.16666666666667,100.0,100.0,84.54166666666667,53.791666666666664,81.08333333333333,64.875,94.875
6,2015-01-07,59.625,100.0,100.0,72.04166666666667,53.75,84.20833333333333,82.625,98.29166666666667
7,2015-01-08,43.5,100.0,100.0,75.375,47.125,68.54166666666667,58.333333333333336,99.70833333333333
8,2015-01-09,46.166666666666664,100.0,98.875,77.16666666666667,52.458333333333336,78.29166666666667,74.83333333333333,98.20833333333333
9,2015-01-10,40.708333333333336,100.0,100.0,76.25,71.54166666666667,79.45833333333333,59.833333333333336,97.66666666666667
10,2015-01-11,51.708333333333336,100.0,96.95833333333333,79.33333333333333,84.25,83.33333333333333,66.95833333333333,100.0
11,2015-01-12,93.54166666666667,100.0,98.70833333333333,88.54166666666667,90.41666666666667,92.20833333333333,87.875,99.25
12,2015-01-13,94.25,100.0,91.375,75.25,80.66666666666667,96.54166666666667,82.29166666666667,98.20833333333333
13,2015-01-14,93.75,100.0,99.95833333333333,68.16666666666667,54.833333333333336,96.375,77.20833333333333,99.25
14,2015-01-15,88.79166666666667,100.0,100.0,79.08333333333333,60.416666666666664,89.75,87.875,98.0
15,2015-01-16,87.75,100.0,99.58333333333333,81.20833333333333,59.875,92.0,82.33333333333333,95.25
16,2015-01-17,70.0,100.0,95.08333333333333,78.375,54.75,83.75,72.79166666666667,97.29166666666667
17,2015-01-18,68.29166666666667,96.08333333333333,91.125,89.75,42.75,78.875,87.625,94.5
18,2015-01-19,48.833333333333336,92.08333333333333,90.95833333333333,87.83333333333333,60.5,79.83333333333333,89.0,97.66666666666667
19,2015-01-20,40.541666666666664,99.08333333333333,94.41666666666667,91.08333333333333,63.083333333333336,78.20833333333333,81.08333333333333,97.79166666666667
20,2015-01-21,60.833333333333336,99.91666666666667,96.70833333333333,90.04166666666667,74.79166666666667,92.0,77.45833333333333,99.41666666666667
21,2015-01-22,50.375,100.0,99.29166666666667,90.20833333333333,48.375,78.91666666666667,84.29166666666667,96.375
22,2015-01-23,79.95833333333333,100.0,99.375,83.29166666666667,53.375,75.41666666666667,82.29166666666667,97.66666666666667
23,2015-01-24,92.58333333333333,100.0,97.75,85.0,22.083333333333332,84.0,95.79166666666667,95.16666666666667
24,2015-01-25,75.29166666666667,100.0,94.83333333333333,87.5,27.875,78.91666666666667,81.54166666666667,93.375
25,2015-01-26,65.75,100.0,100.0,81.33333333333333,32.333333333333336,85.33333333333333,83.875,93.625
26,2015-01-27,66.79166666666667,100.0,100.0,77.33333333333333,79.75,80.45833333333333,86.33333333333333,93.83333333333333
27,2015-01-28,63.375,100.0,100.0,77.75,77.625,79.29166666666667,76.375,96.66666666666667
28,2015-01-29,57.333333333333336,100.0,89.75,86.45833333333333,62.166666666666664,78.125,76.625,96.08333333333333
29,2015-01-30,54.583333333333336,100.0,97.58333333333333,80.70833333333333,67.91666666666667,76.66666666666667,86.91666666666667,95.08333333333333
30,2015-01-31,45.125,100.0,99.125,81.66666666666667,69.70833333333333,75.70833333333333,73.70833333333333,96.125
31,2015-02-01,55.458333333333336,100.0,99.58333333333333,86.91666666666667,55.5,72.625,80.45833333333333,98.95833333333333
32,2015-02-02,88.25,100.0,100.0,82.16666666666667,46.25,73.875,95.25,98.83333333333333
33,2015-02-03,70.25,100.0,95.45833333333333,75.0,59.041666666666664,71.25,78.58333333333333,97.04166666666667
34,2015-02-04,56.416666666666664,99.70833333333333,95.58333333333333,90.45833333333333,66.625,74.625,80.41666666666667,98.95833333333333
35,2015-02-05,58.291666666666664,99.20833333333333,76.29166666666667,73.41666666666667,66.83333333333333,83.20833333333333,82.95833333333333,96.41666666666667
36,2015-02-06,41.5,100.0,91.75,79.375,72.33333333333333,82.45833333333333,72.83333333333333,92.54166666666667
37,2015-02-07,44.791666666666664,100.0,85.625,88.91666666666667,74.91666666666667,68.45833333333333,81.0,94.91666666666667
38,2015-02-08,52.833333333333336,100.0,88.08333333333333,90.91666666666667,83.41666666666667,70.54166666666667,86.375,94.08333333333333
39,2015-02-09,80.375,100.0,92.91666666666667,88.66666666666667,78.875,94.0,98.33333333333333,93.91666666666667
40,2015-02-10,76.70833333333333,100.0,98.95833333333333,84.79166666666667,73.79166666666667,92.70833333333333,90.5,95.41666666666667
41,2015-02-11,72.70833333333333,100.0,99.75,87.5,44.791666666666664,83.75,83.5,92.91666666666667
42,2015-02-12,55.291666666666664,100.0,100.0,79.75,35.5,79.70833333333333,84.04166666666667,94.16666666666667
43,2015-02-13,40.333333333333336,100.0,81.625,71.625,31.416666666666668,74.625,69.04166666666667,91.625
44,2015-02-14,38.75,100.0,81.5,81.5,37.5,70.625,78.625,93.25
45,2015-02-15,30.916666666666668,100.0,77.79166666666667,70.0,39.125,77.33333333333333,80.125,96.70833333333333
