,date,Atlanta,Boston,Chicago,Detroit,Los Angeles,Miami,New York,Seattle
0,2015-01-01,276.23625,269.81229166666674,267.9888541666666,266.56281249999995,274.59145833333326,296.91906250000005,268.9857979060833,271.0326041666667
1,2015-01-02,280.4688958333333,274.57879166666663,270.9965,270.087125,274.06941666666665,296.95014583333335,274.04273160674995,272.2011875
2,2015-01-03,284.1741458333333,271.13716666666676,273.4943958333333,270.8345625,275.15435416666674,298.0616458333333,270.7248143486667,275.9022708333334
3,2015-01-04,288.7087708333333,279.8921041666666,272.85975,274.33481249999994,278.20824999999996,298.1874166666667,278.20260220945835,275.9301249999999
4,2015-01-05,277.0941041666667,277.53577083333334,258.72847916666666,263.56806250000005,278.44983333333334,297.5253541666667,277.3934630940833,283.37275000000005
5,2015-01-06,274.76287500000007,266.1757708333334,261.2231666666667,260.959625,281.31535416666674,297.5882708333333,266.86024551425004,281.8607916666666
6,2015-01-07,274.0734791666667,265.9130625,259.60825,260.7755624999999,283.0087708333333,296.36254166666663,265.2189812202084,278.28950000000003
7,2015-01-08,266.50041666666664,262.56447916666656,255.89260416666664,258.5754166666666,287.2113541666667,291.7290625,262.29356618574997,277.84416666666664
8,2015-01-09,269.4375833333334,269.58393750000005,259.70216666666676,262.5099791666666,286.8266458333333,293.3328958333334,267.362663014875,277.8485208333334
9,2015-01-10,271.8816041666666,267.4732708333333,256.2388958333333,259.5336875,283.19879166666664,293.6472291666667,264.195725526625,277.71493749999996
10,2015-01-11,273.0447708333333,266.7031041666666,266.12445833333334,263.69633333333326,285.01039583333335,295.7869583333334,263.9191102886249,279.2015416666666
11,2015-01-12,277.94156250000003,274.3187708333334,267.71356249999997,269.1786666666667,281.9051041666667,296.1332291666667,270.7908160732084,279.9952083333333
12,2015-01-13,279.2534375,270.9138541666667,262.53781250000003,259.4534375,280.5565625,295.46750000000003,270.5257916666667,277.22531250000003
13,2015-01-14,278.384125,268.4487083333333,260.2002708333333,254.3820416666667,281.5768333333333,294.384125,264.87020833333344,276.03412499999996
14,2015-01-15,274.5855000000001,271.27612500000004,265.8891458333333,259.52352083333335,279.6266458333333,294.6214375,266.6593564665417,274.9802916666667
15,2015-01-16,275.98989583333326,270.5497916666667,270.16854166666667,267.6586458333334,280.95708333333334,292.9534375,269.032097851875,280.9169791666667
16,2015-01-17,276.56372916666663,265.23208333333326,272.86893749999996,265.1138541666667,283.00552083333326,291.71229166666666,265.0269166666666,276.71164583333336
17,2015-01-18,279.5490625000001,274.7475,274.01989583333335,275.08239583333335,286.06677083333324,293.0844791666666,269.96583333333336,282.22979166666664
18,2015-01-19,279.79187500000006,278.79187500000006,271.87416666666667,270.22156249999995,285.6616666666667,290.65489583333334,274.02382337733326,280.72520833333334
19,2015-01-20,284.6229583333333,273.55160416666666,273.7885833333333,268.870875,284.90368749999993,292.7557708333334,270.92788522879164,278.833375
20,2015-01-21,282.81262499999997,270.4787708333334,273.3667916666667,267.3324166666667,281.60481250000004,293.48710416666665,267.9446851055,276.64491666666663
21,2015-01-22,280.9153541666667,273.54712499999994,270.92368749999997,267.9299375,281.0841041666667,295.6893125,270.4839290469166,278.34191666666663
22,2015-01-23,281.3875,271.4041666666667,271.3589791666667,267.38606250000004,281.4078124999999,296.03541666666666,269.1221609056666,280.70481250000006
23,2015-01-24,278.2631666666667,273.3491041666667,272.9480625,267.8793125,288.2168125,295.97358333333335,272.1033087434583,284.70327083333336
24,2015-01-25,276.88472916666666,274.0415,273.1175416666667,269.6019166666666,286.794625,288.3560833333334,272.73830041504164,283.70972916666665
25,2015-01-26,280.33654166666673,268.80841666666663,268.4969583333332,263.4459166666667,287.7490416666667,288.58289583333334,267.871968207,281.519875
26,2015-01-27,276.1738958333333,270.7765,270.23847916666676,261.9973333333333,285.8259791666667,288.09004166666665,269.21012870016665,282.93483333333336
27,2015-01-28,276.2140416666667,268.2432083333333,268.64164583333337,261.8109166666667,282.9124791666667,288.0135208333333,266.70096036958324,281.3963333333333
28,2015-01-29,278.3743124999999,268.8336875,273.8659791666667,269.1097291666668,286.02899999999994,289.46441666666664,263.342044711625,279.31233333333336
29,2015-01-30,280.60550000000006,273.68935416666665,269.3008125,265.9263333333333,285.9065416666666,291.34925000000004,271.3954584324168,278.02893750000004
30,2015-01-31,276.23797916666666,268.77860416666664,269.5452708333334,263.38589583333334,284.1489166666667,292.00933333333336,266.14717373620834,277.30724999999995
31,2015-02-01,279.9222916666667,267.6821875,272.00718750000004,267.0186458333333,284.6603125,293.4384375,266.7994881422083,278.7795833333333
32,2015-02-02,281.371,270.5595416666666,266.9100625,263.1616250000001,285.3975625,295.68766666666664,272.469115420375,279.6569375
33,2015-02-03,272.83675,265.95185416666664,261.9653958333334,259.858625,285.0299791666667,293.5299791666666,266.7576838159583,280.9565416666666
34,2015-02-04,276.38877083333324,268.5773125,267.5049166666667,269.23004166666664,284.8799166666667,294.6033541666667,266.4574117763334,279.5023125
35,2015-02-05,277.6533958333334,272.6346458333333,257.9148541666667,259.9414166666667,285.4544374999999,295.7393333333334,270.2580575030417,282.0830833333333
36,2015-02-06,274.08493749999997,264.06202083333335,262.10212499999994,263.464625,285.6094166666666,292.258375,262.68602066524994,285.7463958333333
37,2015-02-07,277.547125,268.71795833333334,270.0372291666667,269.03827083333334,283.1346249999999,293.31691666666666,265.3531486174583,283.8872291666667
38,2015-02-08,282.90424999999993,272.3282083333334,274.30060416666663,274.2776875,286.06727083333334,293.42143749999997,271.10836379445817,283.35685416666666
